"start time", 224
"stop time", 266
"Time (s)","BCG","ECG ch1","ECG ch2"
0.000000,4287345575,15998367,16767654
0.000955,,15995660,3262
0.001941,,15992122,9223
0.002926,,15990183,22674
0.003881,,15986633,37561
0.004867,4287349935,15986849,42590
0.005852,,15988916,35573
0.006837,,15992055,9021
0.007793,,15990078,16770199
0.008778,,15985296,21424
0.009763,,15988769,56554
0.010749,,15993638,61503
0.011704,,15993115,52881
0.012689,4287354904,15992221,50510
0.013675,,15994508,48180
0.014630,,15998176,43746
0.015616,,15996223,42285
0.016601,,15993308,44583
0.017586,,15991872,45569
0.018542,,15993693,59254
0.019527,,15993264,68738
0.020512,4287359077,15991287,62209
0.021468,,15991280,65351
0.022453,,15995760,75385
0.023438,,15999492,72006
0.024423,,15997117,66687
0.025379,,15996834,79832
0.026364,,15995227,95235
0.027350,,15995699,97703
0.028335,,15995514,93053
0.029290,4287362132,15993283,63086
0.030276,,15995059,20409
0.031261,,15999871,3222
0.032216,,15999009,16774829
0.033202,,15994587,16743837
0.034187,,15996125,16698512
0.035172,,15996938,16626815
0.036128,,15992071,16537107
0.037113,4287363838,15991288,16486204
0.040039,,15986305,16320785
0.041024,,15986747,16227799
0.042010,,15983710,16109919
0.042965,,15981282,16001879
0.043950,,15981079,15915538
0.044936,4287362824,15986739,15812503
0.045921,,15988417,15703345
0.046876,,15989352,15619582
0.047862,,15990186,15556105
0.048847,,15991305,15470458
0.049832,,15991286,15376646
0.050788,,15989514,15303535
0.051773,,15984367,15258163
0.052758,4287357587,15981419,15230526
0.053714,,15984719,15161494
0.054699,,15986984,15074493
0.055684,,15989395,14967255
0.056670,,15986187,14852028
0.057625,,15982217,14756807
0.058610,,15981328,14731224
0.059596,,15981744,14743312
0.060581,,15984142,14691078
0.061536,4287349852,15985927,14656830
0.062522,,15986808,14607025
0.063507,,15984900,14514314
0.064462,,15985924,14467619
0.065448,,15986112,14381410
0.066433,,15984809,14308715
0.067418,,15983787,14355697
0.068374,,15984439,14254812
0.069359,4287341781,15982270,13936412
0.070344,,15982763,13645505
0.071330,,15984782,13334106
0.072285,,15982096,12942703
0.073270,,15977514,12386944
0.074256,,15975227,11066959
0.075211,,15973814,9116694
0.076197,,15977908,8388608
0.077182,4287334875,15980942,8388608
0.080108,,15979795,8388608
0.081093,,15979612,8388608
0.082078,,15977493,8388608
0.083034,,15980680,8388608
0.084019,,15984561,8388608
0.085004,4287330402,15982292,8388608
0.085960,,15977880,8388608
0.086945,,15978343,8388608
0.087931,,15982027,8388608
0.088916,,15981605,8388608
0.089871,,15979405,8388608
0.090857,,15981280,8388608
0.091842,,15983607,8388608
0.092827,,15984616,8388608
0.093783,4287328361,15987229,8388608
0.094768,,15990610,8388608
0.095753,,15991502,8388608
0.096709,,15990939,8388608
0.097694,,15993247,8388608
0.098679,,15993383,8388608
0.099665,,15986612,8388608
0.100620,,15983807,8388608
0.101605,4287327473,15980430,8388608
0.102591,,15976149,8388608
0.103576,,15975952,8388608
0.104531,,15977773,8388608
0.105517,,15986762,8388608
0.106502,,15990886,8388608
0.107457,,15989463,8388608
0.108443,,15984932,8388608
0.109428,4287325595,15982931,8388608
0.110413,,15985962,8388608
0.111369,,15986939,8388608
0.112354,,15989449,8388608
0.113339,,15992099,8388608
0.114325,,15991912,8388608
0.115280,,15992180,8388608
0.116265,,15988106,8388608
0.117251,4287321932,15984942,8388608
0.118206,,15983684,8388608
0.121162,,15993987,8388608
0.122117,,15987998,8388608
0.123103,,15988174,8388608
0.124088,,15990404,8388608
0.125073,,15994178,8388608
0.126029,4287317201,15998756,8388608
0.127014,,15997337,8388608
0.127999,,15995385,8388608
0.128955,,15992800,8388608
0.129940,,15991476,8388608
0.130925,,15989037,8388608
0.131911,,15988329,8388608
0.132866,,15989063,8388608
0.133851,4287312508,15987020,8388608
0.134837,,15987192,8388608
0.135822,,15990519,8388608
0.136778,,15989640,8388608
0.137763,,15987168,8388608
0.138748,,15985082,8388608
0.139704,,15988244,8388608
0.140689,,15990925,8388608
0.141674,4287307272,15992582,8388608
0.142659,,15995745,8388608
0.143615,,15998331,8388608
0.144600,,15998037,8388608
0.145585,,15998729,8388608
0.146571,,15998696,8388608
0.147526,,15994925,8388608
0.148512,,15992242,8388608
0.149497,4287301208,15994318,8388608
0.150452,,15992935,8388608
0.151438,,15988767,8388608
0.152423,,15986193,8388608
0.153408,,15987121,8388608
0.154364,,15992187,8388608
0.155349,,15996923,8388608
0.156334,,15996227,8388608
0.157320,,15990209,8388608
0.158275,4287295321,15984990,8388608
0.161201,,16000337,8388608
0.162186,,15998310,8388608
0.163172,,15993589,8388608
0.164157,,15987423,8388608
0.165112,,15986618,8388608
0.166098,4287290792,15989763,8388608
0.167083,,15990297,8388608
0.168068,,15991616,8388608
0.169024,,16000013,8388608
0.170009,,16007915,8388608
0.170994,,16005482,8388608
0.171950,,15996753,8388608
0.172935,,15993076,8388608
0.173920,4287289006,15991823,8388608
0.174906,,15994232,8388608
0.175861,,15998907,8388608
0.176846,,15998666,8388608
0.177832,,15999667,8388608
0.178787,,15998252,8388608
0.179772,,15997678,8388608
0.180758,,15996837,8388608
0.181743,4287291314,15994448,8388608
0.182698,,15993370,8388608
0.183684,,15999115,8388608
